MetaMessage('track_name', name='Piano right', time=0)
note_on channel=0 note=68 velocity=0 time=0
note_on channel=0 note=80 velocity=39 time=0
note_on channel=0 note=80 velocity=0 time=120
note_on channel=0 note=68 velocity=41 time=0
note_on channel=0 note=77 velocity=49 time=0
note_on channel=0 note=77 velocity=0 time=120
note_on channel=0 note=68 velocity=0 time=0
note_on channel=0 note=80 velocity=43 time=0
note_on channel=0 note=80 velocity=0 time=120
note_on channel=0 note=68 velocity=37 time=0
note_on channel=0 note=72 velocity=44 time=0
note_on channel=0 note=72 velocity=0 time=120
note_on channel=0 note=68 velocity=0 time=0
note_on channel=0 note=75 velocity=38 time=0
note_on channel=0 note=75 velocity=0 time=120
note_on channel=0 note=68 velocity=35 time=0
note_on channel=0 note=72 velocity=42 time=0
note_on channel=0 note=72 velocity=0 time=120
note_on channel=0 note=68 velocity=0 time=0
note_on channel=0 note=75 velocity=34 time=0
note_on channel=0 note=75 velocity=0 time=120
note_on channel=0 note=68 velocity=34 time=0
note_on channel=0 note=72 velocity=40 time=0
note_on channel=0 note=72 velocity=0 time=120
note_on channel=0 note=68 velocity=0 time=0
note_on channel=0 note=75 velocity=33 time=0
note_on channel=0 note=75 velocity=0 time=120
note_on channel=0 note=67 velocity=31 time=0
note_on channel=0 note=73 velocity=37 time=0
note_on channel=0 note=73 velocity=0 time=120
note_on channel=0 note=67 velocity=0 time=0
note_on channel=0 note=75 velocity=32 time=0
note_on channel=0 note=75 velocity=0 time=120
note_on channel=0 note=67 velocity=31 time=0
note_on channel=0 note=73 velocity=38 time=0
note_on channel=0 note=73 velocity=0 time=120
note_on channel=0 note=67 velocity=0 time=0
note_on channel=0 note=75 velocity=31 time=0
note_on channel=0 note=75 velocity=0 time=120
note_on channel=0 note=67 velocity=31 time=0
note_on channel=0 note=73 velocity=38 time=0
note_on channel=0 note=73 velocity=0 time=120
note_on channel=0 note=67 velocity=0 time=0
note_on channel=0 note=75 velocity=32 time=0
note_on channel=0 note=75 velocity=0 time=120
note_on channel=0 note=68 velocity=47 time=0
note_on channel=0 note=72 velocity=47 time=0
note_on channel=0 note=75 velocity=56 time=0
note_on channel=0 note=75 velocity=0 time=60
note_on channel=0 note=72 velocity=0 time=0
note_on channel=0 note=68 velocity=0 time=0
note_on channel=0 note=73 velocity=48 time=120
note_on channel=0 note=73 velocity=0 time=60
note_on channel=0 note=72 velocity=56 time=0
note_on channel=0 note=72 velocity=0 time=120
note_on channel=0 note=70 velocity=52 time=0
note_on channel=0 note=70 velocity=0 time=120
note_on channel=0 note=72 velocity=56 time=0
note_on channel=0 note=72 velocity=0 time=240
note_on channel=0 note=75 velocity=56 time=0
note_on channel=0 note=75 velocity=0 time=60
note_on channel=0 note=72 velocity=48 time=120
note_on channel=0 note=72 velocity=0 time=60
note_on channel=0 note=70 velocity=56 time=0
note_on channel=0 note=70 velocity=0 time=120
note_on channel=0 note=69 velocity=52 time=0
note_on channel=0 note=69 velocity=0 time=120
note_on channel=0 note=70 velocity=56 time=0
note_on channel=0 note=70 velocity=0 time=240
note_on channel=0 note=77 velocity=58 time=0
note_on channel=0 note=77 velocity=0 time=240
note_on channel=0 note=75 velocity=59 time=0
note_on channel=0 note=75 velocity=0 time=120
note_on channel=0 note=73 velocity=54 time=0
note_on channel=0 note=73 velocity=0 time=120
note_on channel=0 note=72 velocity=58 time=0
note_on channel=0 note=72 velocity=0 time=120
note_on channel=0 note=70 velocity=58 time=0
note_on channel=0 note=70 velocity=0 time=120
note_on channel=0 note=77 velocity=58 time=0
note_on channel=0 note=77 velocity=0 time=240
note_on channel=0 note=65 velocity=56 time=0
note_on channel=0 note=65 velocity=0 time=240
note_on channel=0 note=65 velocity=56 time=0
note_on channel=0 note=65 velocity=0 time=240
note_on channel=0 note=73 velocity=37 time=0
note_on channel=0 note=77 velocity=44 time=0
note_on channel=0 note=77 velocity=0 time=120
note_on channel=0 note=73 velocity=0 time=0
note_on channel=0 note=80 velocity=39 time=0
note_on channel=0 note=80 velocity=0 time=120
note_on channel=0 note=73 velocity=38 time=0
note_on channel=0 note=77 velocity=45 time=0
note_on channel=0 note=77 velocity=0 time=120
note_on channel=0 note=73 velocity=0 time=0
note_on channel=0 note=80 velocity=38 time=0
note_on channel=0 note=80 velocity=0 time=120
note_on channel=0 note=73 velocity=38 time=0
note_on channel=0 note=77 velocity=45 time=0
note_on channel=0 note=77 velocity=0 time=120
note_on channel=0 note=73 velocity=0 time=0
note_on channel=0 note=80 velocity=39 time=0
note_on channel=0 note=80 velocity=0 time=120
note_on channel=0 note=73 velocity=37 time=0
note_on channel=0 note=82 velocity=44 time=0
note_on channel=0 note=82 velocity=0 time=120
note_on channel=0 note=73 velocity=0 time=0
note_on channel=0 note=85 velocity=39 time=0
note_on channel=0 note=85 velocity=0 time=120
note_on channel=0 note=73 velocity=39 time=0
note_on channel=0 note=82 velocity=47 time=0
note_on channel=0 note=82 velocity=0 time=120
note_on channel=0 note=73 velocity=0 time=0
note_on channel=0 note=85 velocity=39 time=0
note_on channel=0 note=85 velocity=0 time=120
note_on channel=0 note=73 velocity=41 time=0
note_on channel=0 note=82 velocity=49 time=0
note_on channel=0 note=82 velocity=0 time=120
note_on channel=0 note=73 velocity=0 time=0
note_on channel=0 note=85 velocity=43 time=0
note_on channel=0 note=85 velocity=0 time=120
note_on channel=0 note=73 velocity=37 time=0
note_on channel=0 note=77 velocity=44 time=0
note_on channel=0 note=77 velocity=0 time=120
note_on channel=0 note=73 velocity=0 time=0
note_on channel=0 note=80 velocity=38 time=0
note_on channel=0 note=80 velocity=0 time=120
note_on channel=0 note=73 velocity=35 time=0
note_on channel=0 note=77 velocity=42 time=0
note_on channel=0 note=77 velocity=0 time=120
note_on channel=0 note=73 velocity=0 time=0
note_on channel=0 note=80 velocity=34 time=0
note_on channel=0 note=80 velocity=0 time=120
note_on channel=0 note=73 velocity=34 time=0
note_on channel=0 note=77 velocity=40 time=0
note_on channel=0 note=77 velocity=0 time=120
note_on channel=0 note=73 velocity=0 time=0
note_on channel=0 note=80 velocity=33 time=0
note_on channel=0 note=80 velocity=0 time=120
note_on channel=0 note=72 velocity=31 time=0
note_on channel=0 note=78 velocity=37 time=0
note_on channel=0 note=78 velocity=0 time=120
note_on channel=0 note=72 velocity=0 time=0
note_on channel=0 note=80 velocity=32 time=0
note_on channel=0 note=80 velocity=0 time=120
note_on channel=0 note=72 velocity=31 time=0
note_on channel=0 note=78 velocity=38 time=0
note_on channel=0 note=78 velocity=0 time=120
note_on channel=0 note=72 velocity=0 time=0
note_on channel=0 note=80 velocity=31 time=0
note_on channel=0 note=80 velocity=0 time=120
note_on channel=0 note=72 velocity=31 time=0
note_on channel=0 note=78 velocity=38 time=0
note_on channel=0 note=78 velocity=0 time=120
note_on channel=0 note=72 velocity=0 time=0
note_on channel=0 note=80 velocity=32 time=0
note_on channel=0 note=80 velocity=0 time=120
note_on channel=0 note=73 velocity=31 time=0
note_on channel=0 note=77 velocity=31 time=0
note_on channel=0 note=80 velocity=37 time=0
note_on channel=0 note=80 velocity=0 time=240
note_on channel=0 note=77 velocity=0 time=0
note_on channel=0 note=73 velocity=0 time=0
note_on channel=0 note=73 velocity=40 time=1140
note_on channel=0 note=77 velocity=40 time=30
note_on channel=0 note=80 velocity=51 time=30
note_on channel=0 note=80 velocity=0 time=120
note_on channel=0 note=77 velocity=0 time=0
note_on channel=0 note=73 velocity=0 time=0
note_on channel=0 note=78 velocity=40 time=120
note_on channel=0 note=78 velocity=0 time=120
note_on channel=0 note=77 velocity=40 time=0
note_on channel=0 note=77 velocity=0 time=120
note_on channel=0 note=75 velocity=40 time=0
note_on channel=0 note=75 velocity=0 time=120
note_on channel=0 note=73 velocity=40 time=0
note_on channel=0 note=68 velocity=40 time=60
note_on channel=0 note=72 velocity=40 time=30
note_on channel=0 note=73 velocity=0 time=30
note_on channel=0 note=75 velocity=49 time=0
note_on channel=0 note=75 velocity=0 time=120
note_on channel=0 note=72 velocity=0 time=0
note_on channel=0 note=68 velocity=0 time=0
note_on channel=0 note=73 velocity=40 time=120
note_on channel=0 note=73 velocity=0 time=120
note_on channel=0 note=72 velocity=40 time=0
note_on channel=0 note=72 velocity=0 time=120
note_on channel=0 note=70 velocity=40 time=0
note_on channel=0 note=70 velocity=0 time=120
note_on channel=0 note=68 velocity=40 time=0
note_on channel=0 note=73 velocity=40 time=60
note_on channel=0 note=77 velocity=40 time=30
note_on channel=0 note=68 velocity=0 time=30
note_on channel=0 note=80 velocity=53 time=0
note_on channel=0 note=80 velocity=0 time=120
note_on channel=0 note=77 velocity=0 time=0
note_on channel=0 note=73 velocity=0 time=0
note_on channel=0 note=78 velocity=42 time=120
note_on channel=0 note=78 velocity=0 time=120
note_on channel=0 note=77 velocity=45 time=0
note_on channel=0 note=77 velocity=0 time=120
note_on channel=0 note=75 velocity=47 time=0
note_on channel=0 note=75 velocity=0 time=120
note_on channel=0 note=73 velocity=51 time=0
note_on channel=0 note=73 velocity=0 time=120
note_on channel=0 note=85 velocity=57 time=0
note_on channel=0 note=82 velocity=57 time=0
note_on channel=0 note=78 velocity=57 time=0
note_on channel=0 note=78 velocity=0 time=60
note_on channel=0 note=82 velocity=0 time=0
note_on channel=0 note=85 velocity=0 time=0
note_on channel=0 note=78 velocity=51 time=180
note_on channel=0 note=82 velocity=51 time=0
note_on channel=0 note=85 velocity=51 time=0
note_on channel=0 note=85 velocity=0 time=60
note_on channel=0 note=82 velocity=0 time=0
note_on channel=0 note=78 velocity=0 time=0
note_on channel=0 note=78 velocity=51 time=180
note_on channel=0 note=82 velocity=51 time=0
note_on channel=0 note=85 velocity=51 time=0
note_on channel=0 note=85 velocity=0 time=60
note_on channel=0 note=82 velocity=0 time=0
note_on channel=0 note=78 velocity=0 time=0
note_on channel=0 note=65 velocity=49 time=1620
note_on channel=0 note=68 velocity=32 time=180
note_on channel=0 note=68 velocity=0 time=60
note_on channel=0 note=65 velocity=0 time=0
note_on channel=0 note=66 velocity=41 time=0
note_on channel=0 note=66 velocity=0 time=240
note_on channel=0 note=65 velocity=41 time=0
note_on channel=0 note=65 velocity=0 time=240
note_on channel=0 note=63 velocity=48 time=0
note_on channel=0 note=63 velocity=0 time=240
note_on channel=0 note=65 velocity=41 time=0
note_on channel=0 note=65 velocity=0 time=120
note_on channel=0 note=66 velocity=41 time=0
note_on channel=0 note=66 velocity=0 time=120
note_on channel=0 note=68 velocity=43 time=0
note_on channel=0 note=68 velocity=0 time=120
note_on channel=0 note=70 velocity=44 time=0
note_on channel=0 note=70 velocity=0 time=120
note_on channel=0 note=72 velocity=52 time=0
note_on channel=0 note=72 velocity=0 time=240
note_on channel=0 note=70 velocity=50 time=0
note_on channel=0 note=70 velocity=0 time=120
note_on channel=0 note=72 velocity=46 time=0
note_on channel=0 note=72 velocity=0 time=120
note_on channel=0 note=73 velocity=48 time=0
note_on channel=0 note=73 velocity=0 time=120
note_on channel=0 note=75 velocity=50 time=0
note_on channel=0 note=75 velocity=0 time=120
note_on channel=0 note=77 velocity=53 time=0
note_on channel=0 note=77 velocity=0 time=60
note_on channel=0 note=77 velocity=45 time=180
note_on channel=0 note=77 velocity=0 time=60
note_on channel=0 note=77 velocity=44 time=180
note_on channel=0 note=77 velocity=0 time=60
note_on channel=0 note=73 velocity=40 time=1560
note_on channel=0 note=77 velocity=40 time=30
note_on channel=0 note=80 velocity=51 time=30
note_on channel=0 note=80 velocity=0 time=120
note_on channel=0 note=77 velocity=0 time=0
note_on channel=0 note=73 velocity=0 time=0
note_on channel=0 note=78 velocity=40 time=120
note_on channel=0 note=78 velocity=0 time=120
note_on channel=0 note=77 velocity=40 time=0
note_on channel=0 note=77 velocity=0 time=120
note_on channel=0 note=75 velocity=40 time=0
note_on channel=0 note=75 velocity=0 time=120
note_on channel=0 note=73 velocity=40 time=0
note_on channel=0 note=68 velocity=40 time=60
note_on channel=0 note=72 velocity=40 time=30
note_on channel=0 note=73 velocity=0 time=30
note_on channel=0 note=75 velocity=49 time=0
note_on channel=0 note=75 velocity=0 time=120
note_on channel=0 note=72 velocity=0 time=0
note_on channel=0 note=68 velocity=0 time=0
note_on channel=0 note=73 velocity=40 time=120
note_on channel=0 note=73 velocity=0 time=120
note_on channel=0 note=72 velocity=40 time=0
note_on channel=0 note=72 velocity=0 time=120
note_on channel=0 note=70 velocity=40 time=0
note_on channel=0 note=70 velocity=0 time=120
note_on channel=0 note=68 velocity=40 time=0
note_on channel=0 note=73 velocity=40 time=60
note_on channel=0 note=77 velocity=40 time=30
note_on channel=0 note=68 velocity=0 time=30
note_on channel=0 note=80 velocity=53 time=0
note_on channel=0 note=80 velocity=0 time=120
note_on channel=0 note=77 velocity=0 time=0
note_on channel=0 note=73 velocity=0 time=0
note_on channel=0 note=78 velocity=42 time=120
note_on channel=0 note=78 velocity=0 time=120
note_on channel=0 note=77 velocity=45 time=0
note_on channel=0 note=77 velocity=0 time=120
note_on channel=0 note=75 velocity=47 time=0
note_on channel=0 note=75 velocity=0 time=120
note_on channel=0 note=73 velocity=51 time=0
note_on channel=0 note=73 velocity=0 time=120
note_on channel=0 note=85 velocity=57 time=0
note_on channel=0 note=81 velocity=57 time=0
note_on channel=0 note=78 velocity=57 time=0
note_on channel=0 note=78 velocity=0 time=60
note_on channel=0 note=81 velocity=0 time=0
note_on channel=0 note=85 velocity=0 time=0
note_on channel=0 note=78 velocity=51 time=180
note_on channel=0 note=81 velocity=51 time=0
note_on channel=0 note=85 velocity=51 time=0
note_on channel=0 note=85 velocity=0 time=60
note_on channel=0 note=81 velocity=0 time=0
